Id,Material_Id,Time_Stamp,Json_Text,Spec_Type
31,325,2/8/2019 15:20,"{""Dtex"":670,""Style"":325,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":26,""MinWarpCount"":25.24,""MaxWarpCount"":16.26,""MeanFillCount"":26,""MinFillCount"":25.24,""MaxFillCount"":26.76,""MeanDryWeight"":3.89,""MinDryWeight"":3.73,""MaxDryWeight"":4.04,""MeanConditionedWeight"":4.16,""MinConditionedWeight"":3.99,""MaxConditionedWeight"":4.33,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
32,326,2/8/2019 15:20,"{""Dtex"":670,""Style"":326,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":26,""MinWarpCount"":25.24,""MaxWarpCount"":16.26,""MeanFillCount"":26,""MinFillCount"":25.24,""MaxFillCount"":26.76,""MeanDryWeight"":3.89,""MinDryWeight"":3.73,""MaxDryWeight"":4.04,""MeanConditionedWeight"":4.16,""MinConditionedWeight"":3.99,""MaxConditionedWeight"":4.33,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
33,327,2/8/2019 15:20,"{""Dtex"":670,""Style"":327,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":26,""MinWarpCount"":25.24,""MaxWarpCount"":16.26,""MeanFillCount"":26,""MinFillCount"":25.24,""MaxFillCount"":26.76,""MeanDryWeight"":3.89,""MinDryWeight"":3.73,""MaxDryWeight"":4.04,""MeanConditionedWeight"":4.16,""MinConditionedWeight"":3.99,""MaxConditionedWeight"":4.33,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
34,328,2/8/2019 15:20,"{""Dtex"":670,""Style"":328,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":28,""MinWarpCount"":27.24,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27.24,""MaxFillCount"":28.76,""MeanDryWeight"":4.19,""MinDryWeight"":4.02,""MaxDryWeight"":4.35,""MeanConditionedWeight"":4.48,""MinConditionedWeight"":4.3,""MaxConditionedWeight"":4.66,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
35,330,2/8/2019 15:20,"{""Dtex"":940,""Style"":330,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":850,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":6.56,""MinDryWeight"":6.3,""MaxDryWeight"":6.82,""MeanConditionedWeight"":7.02,""MinConditionedWeight"":6.74,""MaxConditionedWeight"":7.3,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KM209305GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F727""}",style
36,331,2/8/2019 15:20,"{""Dtex"":440,""Style"":331,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":3.09,""MinDryWeight"":2.96,""MaxDryWeight"":3.21,""MeanConditionedWeight"":3.3,""MinConditionedWeight"":3.17,""MaxConditionedWeight"":3.43,""YarnFinish"":""0.01"",""YarnCode"":""FKE012904401HP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F1042""}",style
37,334,2/8/2019 15:20,"{""Dtex"":670,""Style"":334,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":34,""MinWarpCount"":33.24,""MaxWarpCount"":16.26,""MeanFillCount"":34,""MinFillCount"":33.24,""MaxFillCount"":34.76,""MeanDryWeight"":5.08,""MinDryWeight"":4.88,""MaxDryWeight"":5.29,""MeanConditionedWeight"":5.44,""MinConditionedWeight"":5.22,""MaxConditionedWeight"":5.66,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
38,336,2/8/2019 15:20,"{""Dtex"":670,""Style"":336,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":4.63,""MinDryWeight"":4.45,""MaxDryWeight"":4.82,""MeanConditionedWeight"":4.96,""MinConditionedWeight"":4.76,""MaxConditionedWeight"":5.16,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
39,338,2/8/2019 15:20,"{""Dtex"":670,""Style"":338,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":4.63,""MinDryWeight"":4.45,""MaxDryWeight"":4.82,""MeanConditionedWeight"":4.96,""MinConditionedWeight"":4.76,""MaxConditionedWeight"":5.16,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709MP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W077""}",style
40,342,2/8/2019 15:20,"{""Dtex"":1670,""Style"":342,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1500,""MeanWarpCount"":24,""MinWarpCount"":23,""MaxWarpCount"":16.26,""MeanFillCount"":24,""MinFillCount"":23,""MaxFillCount"":25,""MeanDryWeight"":8.96,""MinDryWeight"":8.6,""MaxDryWeight"":9.32,""MeanConditionedWeight"":9.59,""MinConditionedWeight"":9.2,""MaxConditionedWeight"":9.97,""YarnFinish"":""0.01"",""YarnCode"":""FKE002916701KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F211""}",style
